COD_DPTO,NOM_DEP,DPTOMPIO,NOMB_MPIO,CODIGO_VER,NOMBRE_VER
94,GUAINÍA,94888,MORICHAL,94888000,NUEVO MORICHAL
94,GUAINÍA,94001,INÍRIDA,94001003,EL VENADO
94,GUAINÍA,94001,INÍRIDA,94001004,REMANSO - CHORRO BOCON
94,GUAINÍA,94001,INÍRIDA,94001000,BACHACO
94,GUAINÍA,94001,INÍRIDA,94001010,BARRANCO TIGRE
94,GUAINÍA,94001,INÍRIDA,94001011,CAÑO GUARIBEN
94,GUAINÍA,94001,INÍRIDA,94001008,LA CEIBA
94,GUAINÍA,94001,INÍRIDA,94001002,LAGUNA CUMURAL
94,GUAINÍA,94001,INÍRIDA,94001005,GUARARURA
94,GUAINÍA,94001,INÍRIDA,94001013,CARANACOA
94,GUAINÍA,94001,INÍRIDA,94001006,SELVA DE MATAVÉN
94,GUAINÍA,94001,INÍRIDA,94001009,LOMA ALTA
94,GUAINÍA,94001,INÍRIDA,94001014,COAYARE EL COCO
94,GUAINÍA,94001,INÍRIDA,94001007,CARRIZAL
94,GUAINÍA,94001,INÍRIDA,94001012,PAUJIL
94,GUAINÍA,94343,BARRANCOMINAS,94343010,GUACO BAJO Y GUACO ALTO
94,GUAINÍA,94343,BARRANCOMINAS,94343004,MINITAS - MIRALINDO
94,GUAINÍA,94343,BARRANCOMINAS,94343009,PUEBLO NUEVO - LAGUNA COLORADA
94,GUAINÍA,94343,BARRANCOMINAS,94343006,BACHACO BUENAVISTA
94,GUAINÍA,94343,BARRANCOMINAS,94343003,CHATARE
94,GUAINÍA,94343,BARRANCOMINAS,94343011,CHIGUIRO
94,GUAINÍA,94343,BARRANCOMINAS,94343001,BARRANCO PICURE
94,GUAINÍA,94343,BARRANCOMINAS,94343008,MURCIÉLAGO ALTAMIRA
94,GUAINÍA,94343,BARRANCOMINAS,94343007,LAGUNA - CURVINA SAPUARA
94,GUAINÍA,94343,BARRANCOMINAS,94343012,SAPUARÁ
94,GUAINÍA,94343,BARRANCOMINAS,94343005,CUMARAL - GUAMUCO
94,GUAINÍA,94343,BARRANCOMINAS,94343015,COROCORO
94,GUAINÍA,94343,BARRANCOMINAS,94343018,CARPINTERO PALOMAS
94,GUAINÍA,94343,BARRANCOMINAS,94343013,CONCORDIA
94,GUAINÍA,94343,BARRANCOMINAS,94343014,LA UNIÓN
94,GUAINÍA,94343,BARRANCOMINAS,94343016,GUACO BAJO Y GUACO ALTO
94,GUAINÍA,94884,PUERTO COLOMBIA,94884001,MAHIMACHI
94,GUAINÍA,94887,PANA PANA,94887001,VENADO ISANA
94,GUAINÍA,94887,PANA PANA,94887000,BOCAS DEL YARÍ
86,PUTUMAYO,86569,PUERTO CAICEDO,86569064,SIN INFORMACION
86,PUTUMAYO,86001,MOCOA,86001049,LA PEDREGOSA
86,PUTUMAYO,86001,MOCOA,86001009,SAN PEDRO DE GUADALUPE
86,PUTUMAYO,86001,MOCOA,86001030,VILLA GLORIA
86,PUTUMAYO,86001,MOCOA,86001047,ESMERALDA SARDINAS
86,PUTUMAYO,86001,MOCOA,86001007,EL MESON
86,PUTUMAYO,86001,MOCOA,86001008,PUERTO LIMON
86,PUTUMAYO,86001,MOCOA,86001056,LA PACERA
86,PUTUMAYO,86001,MOCOA,86001044,SIN INFORMACION
86,PUTUMAYO,86001,MOCOA,86001011,PEÑAS BLANCAS
86,PUTUMAYO,86001,MOCOA,86001012,LA PALMERA
86,PUTUMAYO,86001,MOCOA,86001006,ALTO ESLABON
86,PUTUMAYO,86001,MOCOA,86001050,EL SANTUARIO
86,PUTUMAYO,86001,MOCOA,86001005,LA FLORIDITA
86,PUTUMAYO,86001,MOCOA,86001029,LA EME
86,PUTUMAYO,86001,MOCOA,86001051,SAN CARLOS
86,PUTUMAYO,86001,MOCOA,86001027,EL PEPINO
86,PUTUMAYO,86001,MOCOA,86001004,LAS MESAS
86,PUTUMAYO,86001,MOCOA,86001026,SAN JOSÉ DEL PEPINO
86,PUTUMAYO,86001,MOCOA,86001034,LAS PLANADAS
86,PUTUMAYO,86001,MOCOA,86001025,EL ZARZAL
86,PUTUMAYO,86001,MOCOA,86001024,LA TEBAIDA
86,PUTUMAYO,86001,MOCOA,86001020,RUMIYACO
86,PUTUMAYO,86001,MOCOA,86001023,LOS ANDES
86,PUTUMAYO,86001,MOCOA,86001035,VILLA RICA
86,PUTUMAYO,86001,MOCOA,86001032,VILLA ROSA
86,PUTUMAYO,86001,MOCOA,86001022,SAN LUIS DE CHONTOYACO
86,PUTUMAYO,86001,MOCOA,86001036,EL LIBANO
86,PUTUMAYO,86001,MOCOA,86001018,LAS PALMERAS
86,PUTUMAYO,86001,MOCOA,86001041,LOS GUADUALES II
86,PUTUMAYO,86001,MOCOA,86001033,BAJO AFAN
86,PUTUMAYO,86001,MOCOA,86001017,LA RESERVA
86,PUTUMAYO,86001,MOCOA,86001053,LOS GUADUALES I
86,PUTUMAYO,86001,MOCOA,86001038,MEDIO AFAN
